No.	DateMeas	TimeMeas	PV	RMS	Tilt	Power	Hardware	Intensity accumul.	Phase accumul.	Sample	Sample	User	Defocus	MaskWidth	MaskHeight	C1 (c1,1)	C2 (s1,1)	C3 (2,2)	C4 (c2,2)	C5 (s2,2)	C6 (c3,1)	C7 (s3,1)	C8 (4,0)	C9 (c3,3)	C10 (s3,3)	C11 (c4,2)	C12 (s4,2)	C13 (c5,1)	C14 (s5,1)	C15 (6,0)
			[nm]	[nm]	[nm]	[nm]	setup			ID	name	initials	[mm]	[pixel]	[pixel]	[nm]	[nm]	[nm]	[nm]	[nm]	[nm]	[nm]	[nm]	[nm]	[nm]	[nm]	[nm]	[nm]	[nm]	[nm]
47	12/09/21	16:40:59	332.5	48.8	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
48	12/09/21	16:41:06	342.0	49.1	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
49	12/09/21	16:41:14	360.3	52.5	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
50	12/09/21	16:41:21	292.9	42.0	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
51	12/09/21	16:41:28	336.8	47.8	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
52	12/09/21	16:41:35	337.7	49.2	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
53	12/09/21	16:41:42	312.4	37.0	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
54	12/09/21	16:41:51	165.9	15.4	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
55	12/09/21	16:43:08	190.6	18.9	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
56	12/09/21	16:43:15	353.2	44.0	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
